system:index,Meann
A20000101_1200,"{temperature=-8.66234889692684, total_precipitation=0.0, pressure=73577.78682027788, wind_u=4.035388077422207, wind_v=1.6008620261203306, longwave_radiation=230.88199795676064, convective_fraction=0.0, potential_energy=2.9448603694397666, potential_evaporation=0.008358425601236993, shortwave_radiation=0.0}"
A20000101_1300,"{temperature=-9.198874285556478, total_precipitation=0.0, pressure=73577.44176657376, wind_u=3.7931626031973953, wind_v=1.7068923433746592, longwave_radiation=230.8855167462794, convective_fraction=0.0, potential_energy=4.575440704641467, potential_evaporation=0.0017470331612226312, shortwave_radiation=0.0}"
A20000101_1400,"{temperature=-9.736145180440106, total_precipitation=0.0, pressure=73577.0529903085, wind_u=3.549891763536464, wind_v=1.8131253278846962, longwave_radiation=230.88882513736644, convective_fraction=0.0, potential_energy=6.206413120910073, potential_evaporation=0.0017470331612226312, shortwave_radiation=0.0}"
A20000101_1500,"{temperature=-10.273305077725905, total_precipitation=0.0, pressure=73576.70987851017, wind_u=3.3066985117486283, wind_v=1.9194080128116626, longwave_radiation=222.83722036612636, convective_fraction=0.0, potential_energy=7.837189827981337, potential_evaporation=0.0017470331612226312, shortwave_radiation=0.45996300080072916}"
A20000101_1600,"{temperature=-9.233155976475109, total_precipitation=1.789877681751664E-4, pressure=73506.64178203608, wind_u=3.4183753485932034, wind_v=2.1772753126984568, longwave_radiation=222.83353121462312, convective_fraction=0.0, potential_energy=5.321356269155369, potential_evaporation=0.040975191208548464, shortwave_radiation=104.32874418090958}"
A20000101_1700,"{temperature=-8.192941436342029, total_precipitation=1.8214650578457636E-4, pressure=73436.54630670685, wind_u=3.5301598696744634, wind_v=2.4364417262611484, longwave_radiation=222.8300254024354, convective_fraction=0.0, potential_energy=2.805360134743354, potential_evaporation=0.040975191208548464, shortwave_radiation=192.98899331805512}"
A20000101_1800,"{temperature=-7.152288980313088, total_precipitation=3.642930115691527E-4, pressure=73366.46543750179, wind_u=3.6413880221995205, wind_v=2.6945829306679197, longwave_radiation=210.75407432973472, convective_fraction=0.0, potential_energy=0.2887421928928405, potential_evaporation=0.040975191208548464, shortwave_radiation=293.4646688295552}"
A20000101_1900,"{temperature=-6.785716928514214, total_precipitation=1.789877681751664E-4, pressure=73322.65110887156, wind_u=4.112180743849573, wind_v=2.673251787834443, longwave_radiation=210.75281276748493, convective_fraction=0.0, potential_energy=0.5039065632161693, potential_evaporation=0.09297469972664771, shortwave_radiation=336.39188513681415}"
A20000101_2000,"{temperature=-6.419781318165484, total_precipitation=0.17345244498439966, pressure=73278.83001021617, wind_u=4.582943093022616, wind_v=2.651079879614546, longwave_radiation=210.75237650826966, convective_fraction=0.0, potential_energy=0.7188476129994203, potential_evaporation=0.09297469972664771, shortwave_radiation=334.35132432283217}"
A20000101_2100,"{temperature=-6.0527034265676125, total_precipitation=3.642930115691527E-4, pressure=73235.00624513351, wind_u=5.053934064113536, wind_v=2.6299127481569435, longwave_radiation=187.71739155645147, convective_fraction=0.0, potential_energy=0.9338317364773449, potential_evaporation=0.09297469972664771, shortwave_radiation=280.4278410691114}"
A20000101_2200,"{temperature=-7.767193859237362, total_precipitation=1.8214650578457636E-4, pressure=73239.82932352215, wind_u=4.4869597150509435, wind_v=2.4929331529392273, longwave_radiation=187.7218714968109, convective_fraction=0.0, potential_energy=0.622564651959025, potential_evaporation=0.029992370986001066, shortwave_radiation=202.88929817489023}"
A20000101_2300,"{temperature=-9.481371455393859, total_precipitation=0.002876417152166111, pressure=73244.6447400392, wind_u=3.9197534307093354, wind_v=2.355121627964767, longwave_radiation=187.72690559681914, convective_fraction=0.0, potential_energy=0.31146323549714233, potential_evaporation=0.029992370986001066, shortwave_radiation=95.3130863406688}"
A20000102_0000,"{temperature=-11.19608802496064, total_precipitation=0.0, pressure=73249.44815556238, wind_u=3.3533754866499166, wind_v=2.2185937543142735, longwave_radiation=177.95856089681644, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.029992370986001066, shortwave_radiation=0.0}"
A20000102_0100,"{temperature=-11.14420382693208, total_precipitation=0.3398351050611592, pressure=73366.7943200708, wind_u=3.567502001822351, wind_v=2.590751304635946, longwave_radiation=177.95860065715, convective_fraction=0.0, potential_energy=0.18243079216942323, potential_evaporation=-0.015380420796863359, shortwave_radiation=0.0}"
A20000102_0200,"{temperature=-11.092682994173982, total_precipitation=0.0020038379766408048, pressure=73484.10752961322, wind_u=3.781309882099566, wind_v=2.9635174089515988, longwave_radiation=177.95871966203717, convective_fraction=0.0, potential_energy=0.3650316702101224, potential_evaporation=-0.015380420796863359, shortwave_radiation=0.0}"
A20000102_0300,"{temperature=-11.04046690780571, total_precipitation=0.0, pressure=73601.4108548472, wind_u=3.995980892950825, wind_v=3.336395615318775, longwave_radiation=209.46257530993742, convective_fraction=0.0, potential_energy=0.5475742330949556, potential_evaporation=-0.015380420796863359, shortwave_radiation=0.0}"
A20000102_0400,"{temperature=-11.38341055305518, total_precipitation=0.0, pressure=73503.64291437725, wind_u=3.928329789877682, wind_v=3.1313046359444474, longwave_radiation=209.46417317834172, convective_fraction=0.0, potential_energy=6.4542445812739935, potential_evaporation=-0.004441281718529975, shortwave_radiation=0.0}"
A20000102_0500,"{temperature=-11.72637242179086, total_precipitation=0.0, pressure=73405.83475605382, wind_u=3.859192644338298, wind_v=2.9259775795896954, longwave_radiation=209.46621641770446, convective_fraction=0.0, potential_energy=12.360798961813522, potential_evaporation=-0.004441281718529975, shortwave_radiation=0.0}"
A20000102_0600,"{temperature=-12.069324902669997, total_precipitation=0.0, pressure=73308.04729077508, wind_u=3.791399618963471, wind_v=2.7200038655879846, longwave_radiation=195.90514841096726, convective_fraction=0.0, potential_energy=18.267560758759718, potential_evaporation=-0.004441281718529975, shortwave_radiation=0.0}"
A20000102_0700,"{temperature=-12.321003672308565, total_precipitation=1.8131264323384053E-4, pressure=73311.7018057818, wind_u=3.638955462904162, wind_v=2.5122851147251293, longwave_radiation=195.90606538365964, convective_fraction=0.0, potential_energy=20.102582323218375, potential_evaporation=-0.009585299721125439, shortwave_radiation=0.0}"
A20000102_0800,"{temperature=-12.573378247784165, total_precipitation=0.3857679542756167, pressure=73315.43183201259, wind_u=3.4875398293619035, wind_v=2.305641273435126, longwave_radiation=195.90655299997238, convective_fraction=0.0, potential_energy=21.93708280641689, potential_evaporation=-0.009585299721125439, shortwave_radiation=0.0}"
A20000102_0900,"{temperature=-12.825925670265326, total_precipitation=0.002343208990253197, pressure=73319.18072728277, wind_u=3.335526686362759, wind_v=2.0984797194687577, longwave_radiation=213.85856421017763, convective_fraction=0.0, potential_energy=23.77157732556535, potential_evaporation=-0.009585299721125439, shortwave_radiation=0.0}"
A20000102_1000,"{temperature=-12.90588370102436, total_precipitation=0.0, pressure=73371.15618770197, wind_u=3.5115128254687042, wind_v=1.6522795924565818, longwave_radiation=213.8592462103434, convective_fraction=0.0, potential_energy=16.02291299665904, potential_evaporation=-0.002849708700334097, shortwave_radiation=0.0}"
A20000102_1100,"{temperature=-12.985845597371378, total_precipitation=0.0, pressure=73423.13536488393, wind_u=3.688385840903445, wind_v=1.2066628931164933, longwave_radiation=213.86036529806452, convective_fraction=0.0, potential_energy=8.274798685700084, potential_evaporation=-0.002849708700334097, shortwave_radiation=0.0}"
A20000102_1200,"{temperature=-13.065591849131609, total_precipitation=0.04515034376121713, pressure=73475.15632078864, wind_u=3.864054449567884, wind_v=0.7610354253527355, longwave_radiation=210.74218957947934, convective_fraction=0.0, potential_energy=0.5254703592235691, potential_evaporation=-0.002849708700334097, shortwave_radiation=0.0}"
A20000102_1300,"{temperature=-13.341110252091536, total_precipitation=0.5197747577104678, pressure=73431.32387387144, wind_u=3.767615760554438, wind_v=0.5342711986083883, longwave_radiation=210.74384322279596, convective_fraction=0.0, potential_energy=2.282047436286828, potential_evaporation=-0.003095032719441148, shortwave_radiation=0.0}"
A20000102_1400,"{temperature=-13.616020929397783, total_precipitation=0.010891128475577773, pressure=73387.49070436538, wind_u=3.669812795096226, wind_v=0.3065830963359747, longwave_radiation=210.74477013557163, convective_fraction=0.0, potential_energy=4.039534141425299, potential_evaporation=-0.003095032719441148, shortwave_radiation=0.0}"
A20000102_1500,"{temperature=-13.891052820498645, total_precipitation=0.018447668222105647, pressure=73343.64125576391, wind_u=3.5736700996769466, wind_v=0.0796203440373305, longwave_radiation=206.93677527128145, convective_fraction=0.0, potential_energy=5.794800452826023, potential_evaporation=-0.003095032719441148, shortwave_radiation=0.4324833089433142}"
A20000102_1600,"{temperature=-12.967871717701616, total_precipitation=3.097771764640916E-4, pressure=73340.28471960679, wind_u=4.4375127702460215, wind_v=0.14314410359775812, longwave_radiation=206.93440207637303, convective_fraction=0.0, potential_energy=22.14865770218406, potential_evaporation=0.03798337797167081, shortwave_radiation=115.02225010354258}"
A20000102_1700,"{temperature=-12.043509677775615, total_precipitation=0.004489979843719801, pressure=73336.93232791233, wind_u=5.302263025650941, wind_v=0.20638898859651567, longwave_radiation=206.93100173951473, convective_fraction=0.0, potential_energy=38.500618383632016, potential_evaporation=0.03798337797167081, shortwave_radiation=213.09261451804417}"
A20000102_1800,"{temperature=-11.119972940884086, total_precipitation=0.29373794626832717, pressure=73333.57141038742, wind_u=6.166381533533977, wind_v=0.26983074246900657, longwave_radiation=204.3471905458764, convective_fraction=0.0, potential_energy=54.85336499433971, potential_evaporation=0.03798337797167081, shortwave_radiation=285.948073943176}"
A20000102_1900,"{temperature=-10.872690449236536, total_precipitation=7.050832481983601E-4, pressure=73376.65778612258, wind_u=6.112588011154986, wind_v=0.5677019079437836, longwave_radiation=204.34677471905462, convective_fraction=0.008609658447690315, potential_energy=61.18434989093521, potential_evaporation=0.09312417925283707, shortwave_radiation=328.14537162106205}"
A20000102_2000,"{temperature=-10.624293563795987, total_precipitation=0.0, pressure=73419.6986602977, wind_u=6.058721594831158, wind_v=0.8652839826600767, longwave_radiation=204.34638374244145, convective_fraction=0.0, potential_energy=67.5155433083911, potential_evaporation=0.09312417925283707, shortwave_radiation=326.43871905458775}"
A20000102_2100,"{temperature=-10.376513239638822, total_precipitation=6.575365160007734E-4, pressure=73462.74025899445, wind_u=6.004626280476018, wind_v=1.1624416710384635, longwave_radiation=201.28987271171007, convective_fraction=0.008394289974321454, potential_energy=73.84346489217775, potential_evaporation=0.09312417925283707, shortwave_radiation=282.66885760830587}"
A20000102_2200,"{temperature=-11.846888753900087, total_precipitation=0.0, pressure=73533.33240053017, wind_u=5.2638774608609245, wind_v=0.9559640500317539, longwave_radiation=201.2935729077507, convective_fraction=0.0, potential_energy=54.0008477786675, potential_evaporation=0.05042090454758817, shortwave_radiation=205.10645100367233}"
A20000102_2300,"{temperature=-13.318039042438619, total_precipitation=0.0, pressure=73603.89993538948, wind_u=4.523247922246463, wind_v=0.7491951293591408, longwave_radiation=201.29811497363127, convective_fraction=0.0, potential_energy=34.15204042300578, potential_evaporation=0.05042090454758817, shortwave_radiation=97.36194913990674}"
A20000103_0000,"{temperature=-14.789245382002907, total_precipitation=0.0, pressure=73674.49348786482, wind_u=3.78243476820278, wind_v=0.5429157577933017, longwave_radiation=181.52477151613897, convective_fraction=0.0, potential_energy=14.306572935361865, potential_evaporation=0.05042090454758817, shortwave_radiation=0.0}"
A20000103_0100,"{temperature=-15.568016677250998, total_precipitation=0.0, pressure=73645.70352348346, wind_u=3.738320954248007, wind_v=0.7972529475108375, longwave_radiation=181.52728028274024, convective_fraction=0.0, potential_energy=18.50385575834554, potential_evaporation=-0.005811560869205067, shortwave_radiation=0.0}"
A20000103_0200,"{temperature=-16.347408675483866, total_precipitation=0.0, pressure=73616.86774139214, wind_u=3.6947483226109314, wind_v=1.0511072148438576, longwave_radiation=181.52976613192698, convective_fraction=0.0, potential_energy=22.70496087472735, potential_evaporation=-0.005811560869205067, shortwave_radiation=0.0}"
A20000103_0300,"{temperature=-17.126257282491643, total_precipitation=0.5532617720959772, pressure=73588.06325316844, wind_u=3.6507869232680776, wind_v=1.3055023883811474, longwave_radiation=187.23431565287018, convective_fraction=0.0, potential_energy=26.901322141535754, potential_evaporation=-0.005811560869205067, shortwave_radiation=0.0}"
A20000103_0400,"{temperature=-16.793469917442074, total_precipitation=0.0, pressure=73640.58400336857, wind_u=3.5903779992821048, wind_v=1.322429798161085, longwave_radiation=187.2329522047657, convective_fraction=0.0, potential_energy=29.028955021122684, potential_evaporation=-0.003908675483888784, shortwave_radiation=0.0}"
A20000103_0500,"{temperature=-16.460396774995164, total_precipitation=0.0, pressure=73693.10325537735, wind_u=3.5295656735787087, wind_v=1.34010934091725, longwave_radiation=187.23193665957984, convective_fraction=0.0, potential_energy=31.15770384073778, potential_evaporation=-0.003908675483888784, shortwave_radiation=0.0}"
A20000103_0600,"{temperature=-16.12807686997816, total_precipitation=0.0, pressure=73745.62624375298, wind_u=3.4692589115608703, wind_v=1.3566678631581857, longwave_radiation=191.65468398818246, convective_fraction=0.0, potential_energy=33.284754452329025, potential_evaporation=-0.003908675483888784, shortwave_radiation=0.0}"
A20000103_0700,"{temperature=-16.583830245464835, total_precipitation=0.0, pressure=73773.06240080633, wind_u=3.411929204517217, wind_v=1.0627155755584399, longwave_radiation=191.65660187204918, convective_fraction=0.0, potential_energy=37.43385835381175, potential_evaporation=-0.00459556561835602, shortwave_radiation=0.0}"
A20000103_0800,"{temperature=-17.039694618549287, total_precipitation=0.0, pressure=73800.50258690672, wind_u=3.35412900019328, wind_v=0.7678841428058649, longwave_radiation=191.65958886710672, convective_fraction=0.0, potential_energy=41.5837574619654, potential_evaporation=-0.00459556561835602, shortwave_radiation=0.0}"
A20000103_0900,"{temperature=-17.495857746362194, total_precipitation=0.0, pressure=73827.94782698737, wind_u=3.2975704779523443, wind_v=0.47448297760720143, longwave_radiation=180.92348123809265, convective_fraction=0.0, potential_energy=45.73132131319548, potential_evaporation=-0.00459556561835602, shortwave_radiation=0.0}"
A20000103_1000,"{temperature=-17.450869205069434, total_precipitation=0.0, pressure=73909.0311339979, wind_u=3.2745826545544916, wind_v=0.4314090068200018, longwave_radiation=180.92301129303925, convective_fraction=0.0, potential_energy=36.03490338791177, potential_evaporation=-0.006151335008421463, shortwave_radiation=0.0}"
A20000103_1100,"{temperature=-17.40624209625313, total_precipitation=0.0, pressure=73990.1164966729, wind_u=3.252852527818429, wind_v=0.38854515835105086, longwave_radiation=180.92267112129676, convective_fraction=0.0, potential_energy=26.33687914515282, potential_evaporation=-0.006151335008421463, shortwave_radiation=0.0}"
A20000103_1200,"{temperature=-17.361201369522586, total_precipitation=0.0, pressure=74071.18424883347, wind_u=3.230452273794075, wind_v=0.34499848137614936, longwave_radiation=190.77112930391812, convective_fraction=0.0, potential_energy=16.638233757627642, potential_evaporation=-0.006151335008421463, shortwave_radiation=0.0}"
A20000103_1300,"{temperature=-17.79222823535907, total_precipitation=0.0, pressure=74153.7595424801, wind_u=3.232295607035371, wind_v=0.19861832840931073, longwave_radiation=190.77280117072087, convective_fraction=0.0, potential_energy=13.724239556009614, potential_evaporation=-0.004002926802330399, shortwave_radiation=0.0}"
A20000103_1400,"{temperature=-18.22363613772536, total_precipitation=0.0, pressure=74236.31096612093, wind_u=3.234499544412845, wind_v=0.051661926719496425, longwave_radiation=190.77556147665462, convective_fraction=0.0, potential_energy=10.80897390728111, potential_evaporation=-0.004002926802330399, shortwave_radiation=0.0}"
A20000103_1500,"{temperature=-18.655149791534345, total_precipitation=0.0, pressure=74318.8844531574, wind_u=3.2359966314161888, wind_v=-0.09502774939945322, longwave_radiation=163.7394549520944, convective_fraction=0.0, potential_energy=7.8926205925394175, potential_evaporation=-0.004002926802330399, shortwave_radiation=0.4416268603142173}"
A20000103_1600,"{temperature=-17.09054504790566, total_precipitation=9.60377723168678E-4, pressure=74344.04229063705, wind_u=3.891936935693184, wind_v=0.5484537648065824, longwave_radiation=163.73337769555746, convective_fraction=0.0, potential_energy=6.295042880415273, potential_evaporation=0.020639390341552315, shortwave_radiation=107.64859375431432}"
A20000103_1700,"{temperature=-15.526016511582947, total_precipitation=0.0, pressure=74369.15832150652, wind_u=4.548240605240634, wind_v=1.192749261396582, longwave_radiation=163.72767622939512, convective_fraction=0.0, potential_energy=4.696291354888587, potential_evaporation=0.020639390341552315, shortwave_radiation=199.181669934009}"
A20000103_1800,"{temperature=-13.962148990805414, total_precipitation=0.08963287958693435, pressure=74394.33343291828, wind_u=5.20455228207748, wind_v=1.8367656073114842, longwave_radiation=191.72852886765887, convective_fraction=0.0, potential_energy=3.0978146174448464, potential_evaporation=0.020639390341552315, shortwave_radiation=262.97047684788924}"
A20000103_1900,"{temperature=-13.422958003147675, total_precipitation=0.0, pressure=74449.59297346554, wind_u=5.8415155866029735, wind_v=1.6662550735842279, longwave_radiation=191.7261852168872, convective_fraction=0.0, potential_energy=2.4858686252312476, potential_evaporation=0.06600239114228126, shortwave_radiation=301.9394164749333}"
A20000103_2000,"{temperature=-12.883356434823408, total_precipitation=0.0, pressure=74504.88543750175, wind_u=6.477808763840191, wind_v=1.4959461026589727, longwave_radiation=191.72465002623102, convective_fraction=0.0, potential_energy=1.873134053069001, potential_evaporation=0.06600239114228126, shortwave_radiation=300.6404654996273}"
A20000103_2100,"{temperature=-12.344353480409723, total_precipitation=0.0, pressure=74560.15194245795, wind_u=7.114984399591351, wind_v=1.325292818289754, longwave_radiation=192.35271309053772, convective_fraction=0.0, potential_energy=1.2602978711654753, potential_evaporation=0.06600239114228126, shortwave_radiation=266.1594650026233}"
A20000103_2200,"{temperature=-13.273683905348307, total_precipitation=0.0, pressure=74513.5140439573, wind_u=6.362341165750891, wind_v=1.2135787061324792, longwave_radiation=192.35515200044182, convective_fraction=0.0, potential_energy=0.8404468619708982, potential_evaporation=0.03756033354502029, shortwave_radiation=193.8017209597704}"
A20000103_2300,"{temperature=-14.203278570836883, total_precipitation=0.0, pressure=74466.87671397414, wind_u=5.609752050142201, wind_v=1.1017223955600963, longwave_radiation=192.35780434602535, convective_fraction=0.0, potential_energy=0.4198806085539941, potential_evaporation=0.03756033354502029, shortwave_radiation=93.12917889388963}"
A20000104_0000,"{temperature=-15.13287185575833, total_precipitation=0.09339845928707517, pressure=74420.24566032532, wind_u=4.857125106993954, wind_v=0.989697655797002, longwave_radiation=164.8174630698291, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.03756033354502029, shortwave_radiation=0.0}"
A20000104_0100,"{temperature=-15.706300632299735, total_precipitation=0.002014589833503604, pressure=74516.75117375821, wind_u=5.221869564016898, wind_v=1.6980638926471003, longwave_radiation=164.8192972913274, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.0038373940414722367, shortwave_radiation=0.0}"
A20000104_0200,"{temperature=-16.280001104453685, total_precipitation=0.04877258745892814, pressure=74613.24738824311, wind_u=5.586841814617446, wind_v=2.40534417538725, longwave_radiation=164.82198470331613, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.0038373940414722367, shortwave_radiation=0.0}"
A20000104_0300,"{temperature=-16.853747135323164, total_precipitation=0.0, pressure=74709.75766905051, wind_u=5.951207720131432, wind_v=3.113094403180826, longwave_radiation=166.20009774415337, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.0038373940414722367, shortwave_radiation=0.0}"
A20000104_0400,"{temperature=-16.654568020542825, total_precipitation=0.32816175829030586, pressure=74643.29596984843, wind_u=5.823619018692879, wind_v=3.274676809233233, longwave_radiation=166.1980117072094, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003584117955656184, shortwave_radiation=0.0}"
A20000104_0500,"{temperature=-16.453847640610746, total_precipitation=1.0914809951127926, pressure=74576.7897272, wind_u=5.695797277521609, wind_v=3.4362732970704393, longwave_radiation=166.19547422481156, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003584117955656184, shortwave_radiation=0.0}"
A20000104_0600,"{temperature=-16.254635944445955, total_precipitation=0.0, pressure=74510.3388171301, wind_u=5.567853770328851, wind_v=3.5979319104288066, longwave_radiation=220.6530632023636, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003584117955656184, shortwave_radiation=0.0}"
A20000104_0700,"{temperature=-15.491572742082429, total_precipitation=0.0, pressure=74511.29080846017, wind_u=5.500454758814922, wind_v=4.03729823011293, longwave_radiation=220.65059336775545, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.01253251235607588, shortwave_radiation=0.0}"
A20000104_0800,"{temperature=-14.728108623022319, total_precipitation=0.0, pressure=74512.28506143526, wind_u=5.432965182096805, wind_v=4.475421211033492, longwave_radiation=220.64713753209833, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.01253251235607588, shortwave_radiation=0.0}"
A20000104_0900,"{temperature=-13.964982466797348, total_precipitation=0.16263575668884783, pressure=74513.27948504846, wind_u=5.365755860507498, wind_v=4.91472954689787, longwave_radiation=234.45684015793685, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.01253251235607588, shortwave_radiation=0.0}"
A20000104_1000,"{temperature=-13.318448794764873, total_precipitation=0.0, pressure=74477.49436286827, wind_u=5.418058370378551, wind_v=4.910270038931996, longwave_radiation=234.45448739542218, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.016391495706436218, shortwave_radiation=0.0}"
A20000104_1100,"{temperature=-12.672091835325936, total_precipitation=0.0, pressure=74441.71458320683, wind_u=5.470535383935725, wind_v=4.906004638705582, longwave_radiation=234.45266339012076, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.016391495706436218, shortwave_radiation=0.0}"
A20000104_1200,"{temperature=-12.026019548830641, total_precipitation=0.0, pressure=74405.93673164533, wind_u=5.523159842063118, wind_v=4.9013192699560975, longwave_radiation=252.94978159427887, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.016391495706436218, shortwave_radiation=0.0}"
A20000104_1300,"{temperature=-11.380985172708936, total_precipitation=0.041262766104315673, pressure=74311.51785321812, wind_u=5.510226413010468, wind_v=5.169951956263635, longwave_radiation=252.94709998067214, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.020190973852058428, shortwave_radiation=0.0}"
A20000104_1400,"{temperature=-10.736564596736322, total_precipitation=0.037461965375376216, pressure=74217.1155327609, wind_u=5.497454786426267, wind_v=5.438370102438084, longwave_radiation=252.94439959135224, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.020190973852058428, shortwave_radiation=0.0}"
A20000104_1500,"{temperature=-10.09209625314077, total_precipitation=0.0, pressure=74122.71971725985, wind_u=5.485376756771682, wind_v=5.706764778971205, longwave_radiation=252.89468205538827, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.020190973852058428, shortwave_radiation=0.40263036695474513}"
A20000104_1600,"{temperature=-9.156930723141047, total_precipitation=0.0054618549300052485, pressure=74124.47190048873, wind_u=5.938882292845905, wind_v=6.116340944860149, longwave_radiation=252.8899190987658, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0621587238037386, shortwave_radiation=102.8020679791258}"
A20000104_1700,"{temperature=-8.2223847916724, total_precipitation=0.021396344258221286, pressure=74126.22443990393, wind_u=6.3928539083855656, wind_v=6.525069442526996, longwave_radiation=252.8861355164703, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0621587238037386, shortwave_radiation=190.52071402932324}"
A20000104_1800,"{temperature=-7.2869337603887505, total_precipitation=0.04615518679073365, pressure=74128.01509125553, wind_u=6.846524008062521, wind_v=6.934359002678304, longwave_radiation=259.5303305077728, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0621587238037386, shortwave_radiation=261.30651906563213}"
A20000104_1900,"{temperature=-6.436072562608702, total_precipitation=1.6758272855288954, pressure=74035.51616395617, wind_u=7.207163486760363, wind_v=6.85758897755198, longwave_radiation=259.5265066129167, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.1129231797222299, shortwave_radiation=300.1292669188503}"
A20000104_2000,"{temperature=-5.584484910401175, total_precipitation=0.20497208493249033, pressure=73943.03926084438, wind_u=7.567388795317116, wind_v=6.7802584421680425, longwave_radiation=259.52242041030433, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.1129231797222299, shortwave_radiation=299.1236849821909}"
