new_site_id,site_id,lat_wgs84,lon_wgs84,site_name,country,continent,DO_index,DO_ts_availability,DO_ts_continuity,DO_nobs_1950,DO_nobs,DO_min,DO_max,DO_mean,DO_median,DO_std,DO_iqr,DO_tstart,DO_tend,DO_tyear,DO_tdata,DO_tgap,DO_pct_min,DO_pct_max,DO_pct_mean,DO_pct_median,DO_pct_std,DO_pct_iqr,WT_index,WT_ts_availability,WT_ts_continuity,WT_nobs_1950,WT_nobs,WT_min,WT_max,WT_mean,WT_median,WT_std,WT_iqr,WT_tstart,WT_tend,WT_tyear,WT_tdata,WT_tgap,WT_pct_min,WT_pct_max,WT_pct_mean,WT_pct_median,WT_pct_std,WT_pct_iqr
g14,301272,50.03955813,8.218806459,RHEIN at RHEIN-KM 504.0,Germany,Europe,DO_4170,0.71,0.07,81,81,2.1,11.2,6.307407407,6.1,2.254594075,3.3,1966,1975,10,10,0,0.0164,0.0301,0.0221,0.0219,0.00454,0.00546,WT_5562,0.71,0.07,81,81,1.7,25,12.78148148,11.8,6.104406423,11.1,1966,1975,10,10,0,0.0164,0.0301,0.0221,0.0219,0.00454,0.00546
g15,301273,50.23496936,7.5852,RHEIN at RHEIN-KM 571.0,Germany,Europe,DO_4171,0.75,0.06,86,86,2.1,11.4,5.680232558,5.3,2.155366477,2.9,1966,1975,10,10,0,0.0164,0.0273,0.0235,0.0246,0.00294,0.00205,WT_5563,0.75,0.06,86,86,1,23,11.88255814,11.8,6.429530984,11.375,1966,1975,10,10,0,0.0164,0.0273,0.0235,0.0246,0.00294,0.00205
g16,301274,50.67320661,7.193296996,RHEIN at RHEIN-KM 645.0,Germany,Europe,DO_4172,0.84,0.41,97,97,2.8,10.3,6.231958763,6,1.894759571,2.8,1966,1975,10,10,0,0.0191,0.0328,0.0265,0.0246,0.00562,0.0109,WT_5564,0.83,0.41,96,96,3,24,13.625,13,5.843665036,10.125,1966,1975,10,10,0,0.0191,0.0328,0.0262,0.0232,0.00579,0.0109
g17,301275,50.9106336,6.981377185,RHEIN at RHEIN-KM 685.0,Germany,Europe,DO_4173,0.81,0.35,84,84,2.4,10.3,6.007142857,6.05,1.897924403,2.7,1966,1974,9,9,0,0.0191,0.0328,0.0255,0.0246,0.0058,0.0109,WT_5565,0.81,0.35,83,83,3,23.5,13.16626506,13,5.949385644,10.1,1966,1974,9,9,0,0.0164,0.0328,0.0252,0.0246,0.00623,0.0109
g18,301276,51.18526526,6.7401,RHEIN at RHEIN-KM 735.0,Germany,Europe,DO_4174,0.81,0.35,84,84,2,9.9,5.788095238,5.55,1.976147205,2.775,1966,1974,9,9,0,0.0191,0.0328,0.0255,0.0246,0.0058,0.0109,WT_5566,0.81,0.35,84,84,3.5,24.2,13.40357143,14,5.759757492,10.325,1966,1974,9,9,0,0.0191,0.0328,0.0255,0.0246,0.0058,0.0109
g19,301277,51.2598,6.7168,RHEIN at RHEIN-KM 750.0,Germany,Europe,DO_4175,0.81,0.35,84,84,1.9,10,5.76547619,5.6,1.981875347,2.75,1966,1974,9,9,0,0.0191,0.0328,0.0255,0.0246,0.0058,0.0109,WT_5567,0.81,0.35,84,84,3.5,24,13.44285714,14,5.678712855,10.025,1966,1974,9,9,0,0.0191,0.0328,0.0255,0.0246,0.0058,0.0109
g20,301278,51.48972224,6.697583825,RHEIN at RHEIN-KM 787.0,Germany,Europe,DO_4176,0.8,0.34,83,83,1.5,9.8,5.627710843,5.5,2.0129043,3,1966,1974,9,9,0,0.0191,0.0328,0.0252,0.0246,0.00543,0.0082,WT_5568,0.8,0.34,83,83,4,24.8,13.4626506,13,5.686584788,10.5,1966,1974,9,9,0,0.0191,0.0328,0.0252,0.0246,0.00543,0.0082
g21,301320,47.59027574,8.131652634,Hauensteiner Alb at Albbruck,Germany,Europe,DO_4177,0.95,0.35,166,166,7.8,16,11.50301205,11.7,1.515912554,2.2,1992,2005,14,14,0,0.0109,0.0383,0.0324,0.0355,0.00677,0.00273,WT_5569,0.95,0.55,165,165,0.1,21.6,9.679393939,9.8,5.393248907,9,1992,2005,14,14,0,0.0109,0.041,0.0322,0.0328,0.00688,0.00273
g22,301323,48.06139687,9.335337818,Ablach at Walke/Mengen,Germany,Europe,DO_4179,0.89,0.41,156,156,7.9,16.4,11.13141026,10.9,1.569499797,1.95,1992,2005,14,13,1,0.0109,0.0383,0.0328,0.0355,0.00705,0.00273,WT_5571,0.88,0.24,154,154,0.3,19,9.853896104,9.75,5.327338949,9.425,1992,2005,14,13,1,0.0109,0.0383,0.0324,0.0355,0.00695,0.00273
g23,301324,48.63591809,9.326925885,Aich at Oberensingen,Germany,Europe,DO_4180,0.75,0.26,127,127,7.3,15,11.16220472,11.2,1.56934569,2.5,1992,2005,14,11,3,0.0109,0.0355,0.0315,0.0355,0.00737,0.0041,WT_5572,0.74,0.41,124,124,0.1,20.1,10.16129032,10.45,5.008037599,7.85,1992,2005,14,11,3,0.0109,0.0355,0.0308,0.0328,0.00724,0.00546
g24,301328,48.52332886,9.052327567,Ammer  at Lustnau,Germany,Europe,DO_4183,0.81,0.34,139,139,9.2,17.3,11.76043165,11.5,1.332080138,1.65,1992,2005,14,12,2,0.0109,0.0355,0.0316,0.0342,0.00703,0.00342,WT_5575,0.81,0.44,139,139,1.8,20.5,10.97769784,11.1,3.960256235,6.2,1992,2005,14,12,2,0.0109,0.0355,0.0316,0.0342,0.00703,0.00342
g25,301331,47.62773023,9.602437303,Argen at Gie??en,Germany,Europe,DO_4185,0.98,0.32,309,309,6.4,17.1,11.80809061,11.7,1.666349316,2.2,1986,2005,20,20,0,0.0273,0.0683,0.0422,0.0355,0.0137,0.0212,WT_5577,0.98,0.37,314,314,0.3,24.2,10.66624204,10.4,5.815881684,9.75,1986,2005,20,20,0,0.0301,0.071,0.0429,0.0355,0.0146,0.0198
g26,301332,47.73132912,9.244568258,Seefelder Aach  at Oberuhldingen,Germany,Europe,DO_4186,0.97,0.25,261,261,7.2,14.1,10.8183908,10.7,1.397458853,2,1988,2005,18,18,0,0.0273,0.0683,0.0396,0.0342,0.0131,0.00273,WT_5578,0.98,0.42,267,267,0.7,21.6,9.661797753,9.3,4.791365329,8,1988,2005,18,18,0,0.0301,0.071,0.0405,0.0355,0.0136,0.00273
g27,301334,47.74326827,8.839718167,Radolfzeller Aach at Rielasingen,Germany,Europe,DO_4187,0.93,0.34,378,378,7.8,17.2,12.37116402,12.4,1.522558652,1.9,1983,2005,23,22,1,0.0273,0.071,0.0469,0.0369,0.0164,0.0314,WT_5579,0.92,0.5,262,262,2.6,19.6,10.76450382,10.5,3.905865461,6.5,1988,2005,18,17,1,0.0273,0.071,0.0421,0.0355,0.0149,0.00273
g28,301338,48.40232126,9.951860035,Blau at Ulm-S??flingen,Germany,Europe,DO_4189,0.82,0.14,142,142,7.6,13.8,10.73169014,10.7,1.095986859,1.375,1993,2005,13,12,1,0.0246,0.0383,0.0323,0.0328,0.00401,0.00546,WT_5581,0.85,0.27,148,148,4,16.6,10.18851351,9.7,3.411455764,5.425,1993,2005,13,12,1,0.0246,0.0383,0.0337,0.0355,0.00375,0.00342
g29,301339,48.03565594,8.465137397,Brigach at Marbach,Germany,Europe,DO_4190,0.92,0.82,157,157,4.9,15.2,10.6343949,10.7,1.685789527,2.4,1992,2005,14,13,1,0.0109,0.0383,0.033,0.0355,0.0071,0,WT_5582,0.91,0.56,156,156,0.5,20.1,9.221794872,8.9,5.162111282,9.125,1992,2005,14,13,1,0.0109,0.0383,0.0328,0.0355,0.00705,0.00273
g30,301340,48.57732525,10.27741667,Brenz  at Bergenweiler,Germany,Europe,DO_4191,0.92,0.31,163,163,7.7,15.4,10.68220859,10.6,1.433717444,1.65,1992,2005,14,14,0,0.0109,0.0355,0.0318,0.0328,0.00648,0.00273,WT_5583,0.93,0.21,165,165,2.4,19.8,10.60060606,10.4,3.81921485,5.8,1992,2005,14,14,0,0.0109,0.0383,0.0322,0.0328,0.00645,0.00273
g31,301341,47.66399501,9.489832057,Rotach at Friedrichshafen,Germany,Europe,DO_4192,0.98,0.32,310,310,6.9,16.5,11.61032258,11.6,1.568074456,2.1,1986,2005,20,20,0,0.0301,0.0683,0.0423,0.0355,0.014,0.0191,WT_5584,0.98,0.37,316,316,0.5,22.4,10.16297468,10.05,5.305563658,8.7,1986,2005,20,20,0,0.0301,0.071,0.0432,0.0355,0.0146,0.0219
g32,301342,47.81810313,8.964998664,Stockacher Aach  at Wahlwies,Germany,Europe,DO_4193,0.98,0.31,308,308,7.7,15,10.94772727,10.8,1.343858523,2.025,1986,2005,20,20,0,0.0301,0.0683,0.0421,0.0355,0.0141,0.0212,WT_5585,0.98,0.37,314,314,0.4,20.2,9.125477707,9.05,4.433627013,7.275,1986,2005,20,20,0,0.0301,0.071,0.0429,0.0355,0.0148,0.0219
g33,301347,48.23163063,7.735565059,Elz  at Rust,Germany,Europe,DO_4194,0.94,0.41,110,110,6.6,14.6,10.55818182,10.65,1.762940716,2.675,1997,2005,9,9,0,0.0301,0.0383,0.0334,0.0328,0.00299,0.00546,WT_5586,0.94,0.23,111,111,0.4,24.9,11.26846847,10.9,5.784618821,9.4,1997,2005,9,9,0,0.0301,0.0383,0.0337,0.0328,0.00273,0.00273
g34,301352,48.89038308,8.680401544,Enz  at Br??tzingen,Germany,Europe,DO_4195,0.95,0.37,99,99,8.2,14.1,11.06262626,11.1,1.293514896,1.95,1998,2005,8,8,0,0.0301,0.0383,0.0338,0.0328,0.0025,0.00273,WT_5587,0.96,0.37,100,100,0.8,20.4,10.077,9.95,4.485979393,7.2,1998,2005,8,8,0,0.0328,0.0383,0.0342,0.0328,0.00207,0.00273
g35,301353,48.8152476,8.719731189,Nagold at Dennj??cht,Germany,Europe,DO_3847,0.93,0.37,97,97,5.8,14.1,10.67835052,10.9,1.616079799,2.3,1998,2005,8,8,0,0.0273,0.0383,0.0331,0.0328,0.00341,0.00342,WT_5239,0.95,0.37,99,99,1.9,21.2,10.52727273,10,4.721095043,8.45,1998,2005,8,8,0,0.0328,0.0383,0.0338,0.0328,0.00203,6.83E-04
g36,301354,48.87725958,8.68206375,Nagold at Pforzheim,Germany,Europe,DO_3848,0.78,0.22,135,135,7.2,16.3,11.26074074,11.3,1.49172325,2.15,1992,2005,14,12,2,0.0109,0.0383,0.0307,0.0328,0.0071,0.00615,WT_5240,0.79,0.22,137,137,1.4,21.9,10.73357664,9.7,4.892931236,8.3,1992,2005,14,12,2,0.0109,0.0383,0.0312,0.0328,0.00694,0.00137
g37,301356,48.86578082,8.719680837,W??rm  at W??rm,Germany,Europe,DO_3850,0.86,0.22,147,147,6.1,15.2,11.06870748,11,1.491427684,2.2,1992,2005,14,13,1,0.0109,0.0383,0.0309,0.0328,0.00673,0.00546,WT_5242,0.87,0.22,149,149,1.4,20.4,11.18456376,10.8,4.669433741,7.8,1992,2005,14,13,1,0.0109,0.0383,0.0313,0.0328,0.00666,0
g38,301357,48.88925235,8.71453616,Enz  at Pforzheim,Germany,Europe,DO_3851,0.84,0.19,290,290,4,16.7,11.54241379,11.5,1.528448011,1.975,1985,2004,20,18,2,0.0273,0.0656,0.044,0.0369,0.0133,0.0232,WT_5243,0.85,0.19,297,297,0.1,22.7,10.34074074,9.9,4.95029928,7.9,1985,2004,20,18,2,0.0328,0.0656,0.0451,0.0369,0.0134,0.026
g39,301358,48.93971321,8.810523334,Enz  at Enzberg II,Germany,Europe,DO_3852,0.82,0.33,105,105,7.9,14.6,10.82380952,10.8,1.44923878,2.1,1986,1991,6,5,1,0.0519,0.0628,0.0574,0.0574,0.00386,0,WT_5244,0.82,0.33,106,106,0.1,20.5,10.48018868,10.3,5.001226893,8.35,1986,1991,6,5,1,0.0519,0.0628,0.0579,0.0574,0.00405,0.00273
g40,301359,48.93532563,8.919070296,"Enz  at M??hlhausen,Rosswag",Germany,Europe,DO_3853,0.99,0.5,127,127,6.6,15.8,10.29133858,10.2,1.682827535,2.5,1986,1991,6,6,0,0.0519,0.0628,0.0578,0.0587,0.00402,0.00478,WT_5245,0.99,0.5,130,130,0.1,22.1,10.87538462,10.65,5.27730348,8.8,1986,1991,6,6,0,0.0519,0.0628,0.0592,0.0601,0.00411,0.0041
g41,301362,49.00220401,9.140036358,Enz  at Besigheim,Germany,Europe,DO_3856,0.93,0.29,171,171,6.3,13.6,10.19883041,10.2,1.585485203,2.7,1992,2005,14,14,0,0.0109,0.0656,0.0334,0.0328,0.0114,0.00546,WT_5248,0.96,0.29,177,177,0.4,24.2,11.44576271,10.7,5.347173915,9.8,1992,2005,14,14,0,0.0109,0.0683,0.0345,0.0328,0.0116,0.00273
g42,301364,49.36012615,8.785421088,Elsenz at Bammental,Germany,Europe,DO_3857,0.87,0.3,152,152,4.8,12.6,9.816447368,9.6,1.413438065,2.1,1992,2005,14,13,1,0.0109,0.0383,0.0319,0.0328,0.00673,0.00273,WT_5249,0.89,0.44,156,156,2.3,20.1,11.27692308,11.55,4.334212674,7.275,1992,2005,14,13,1,0.0109,0.0383,0.0328,0.0355,0.00705,0.00273
g43,301368,48.41451107,8.764616359,Eyach  at M??hringen,Germany,Europe,DO_3861,0.97,0.49,166,166,7.8,19.8,11.60783133,11.7,1.929075488,2.5,1992,2005,14,14,0,0.0109,0.0355,0.0324,0.0355,0.00677,0.0041,WT_5253,0.95,0.26,163,163,0.1,19.7,10.00552147,9.9,5.083333352,8.4,1992,2005,14,14,0,0.0109,0.0355,0.0318,0.0355,0.00666,0.00546
g44,301369,49.34355612,9.110898896,Elz  at Neckarelz,Germany,Europe,DO_3862,0.31,0.15,55,55,8,15.6,11.25090909,11.1,1.753290317,2.5,1992,2005,14,5,9,0.0109,0.0355,0.0301,0.0355,0.0108,0.00273,WT_5254,0.32,0.15,56,56,0.4,22.8,9.8375,10.25,5.083183058,8,1992,2005,14,5,9,0.0109,0.0383,0.0306,0.0355,0.0112,0.00273
g45,301373,48.70617986,9.423265732,Fils at Plochingen,Germany,Europe,DO_3866,0.95,0.24,244,244,7,16.3,11.22868852,11.4,1.585789752,2.425,1989,2005,17,17,0,0.0328,0.0683,0.0392,0.0355,0.0112,0.00273,WT_5258,0.95,0.35,244,244,0.7,21.7,10.85860656,10.95,5.006839736,8.025,1989,2005,17,17,0,0.0328,0.0683,0.0392,0.0355,0.0117,0.00273
g46,301374,48.37321859,8.576790079,Glatt  at Hopfau-2,Germany,Europe,DO_3867,0.75,0.35,124,124,9.4,15.5,11.89919355,11.8,1.134205497,1.225,1993,2005,13,10,3,0.0273,0.0355,0.0339,0.0355,0.00294,0.00205,WT_5259,0.75,0.35,124,124,0.9,20.3,9.929032258,9.35,4.796844732,7.55,1993,2005,13,10,3,0.0273,0.0355,0.0339,0.0355,0.00294,0.00205
g47,301375,47.93908902,10.08953047,Aitrach at Aitrach,Germany,Europe,DO_3868,0.91,0.58,126,126,7.6,16.8,11.16904762,11,1.61207763,2.075,1995,2005,11,10,1,0.0328,0.0355,0.0344,0.0355,0.00141,0.00273,WT_5260,0.91,0.49,126,126,0.4,19.4,9.369047619,9.35,4.844154651,7.55,1995,2005,11,10,1,0.0328,0.0355,0.0344,0.0355,0.00141,0.00273
g48,301376,48.38104645,9.985220988,Iller  at Ulm-Wiblingen,Germany,Europe,DO_3869,0.89,0.11,172,172,7.5,16.6,11.11569767,11.1,1.608798208,2.425,1992,2005,14,14,0,0.0109,0.0683,0.0336,0.0328,0.0119,0.00478,WT_5261,0.93,0.41,180,180,1.6,19.5,10.03777778,9.4,5.127842235,9.225,1992,2005,14,14,0,0.0109,0.071,0.0351,0.0355,0.0124,0.00478
g49,301380,49.03075569,10.10171194,Jagst  at Jagstzell,Germany,Europe,DO_3871,0.93,0.24,97,97,5,15.6,9.758762887,10.1,2.102714148,3.3,1998,2005,8,8,0,0.0301,0.0383,0.0331,0.0328,0.00228,0,WT_5263,0.92,0.24,96,96,0.5,23,10.846875,10.85,5.796477208,9.375,1998,2005,8,8,0,0.0301,0.0383,0.0328,0.0328,0.00253,6.83E-04
g50,301385,49.23965217,9.18990054,Jagst  at Jagstfeld,Germany,Europe,DO_3874,0.82,0.21,158,158,5.2,13.9,10.64113924,10.65,1.776245584,2.8,1992,2005,14,12,2,0.0109,0.071,0.036,0.0355,0.0132,0.00342,WT_5266,0.82,0.36,158,158,0.6,20.6,10.79050633,10,5.687294903,10.075,1992,2005,14,12,2,0.0109,0.0683,0.036,0.0355,0.0125,0.00137
g51,301389,48.39739684,8.368442011,"Kleine Kinzig at Kinzigtalsperre, Auslauf",Germany,Europe,DO_3876,0.93,0.35,231,231,3.9,13.7,9.5004329,10.1,2.029167699,3.05,1986,2005,20,20,0,0.0082,0.0355,0.0316,0.0328,0.00728,0.00273,WT_5268,0.93,0.35,231,231,0.1,12.7,6.354545455,6,2.07585784,3.1,1986,2005,20,20,0,0.0082,0.0355,0.0316,0.0328,0.00666,0.00342
g52,301392,48.4478882,7.951904795,Kinzig at Offenburg,Germany,Europe,DO_3877,0.92,0.22,99,99,5.9,15.2,11.4040404,11.3,1.500538624,2.1,1998,2005,8,8,0,0.0301,0.0383,0.0338,0.0342,0.0029,0.00342,WT_5269,0.92,0.25,99,99,0.3,25.7,11.55353535,11.7,5.866009197,9.1,1998,2005,8,8,0,0.0301,0.0383,0.0338,0.0328,0.0025,0.00273
g53,301395,48.58493833,7.822533118,Kinzig at Kehl,Germany,Europe,DO_3880,0.92,0.22,174,174,6,22,10.56666667,10.5,1.932363055,2.7,1992,2005,14,14,0,0.0109,0.0656,0.034,0.0328,0.0113,0.00273,WT_5272,0.92,0.26,174,174,0.8,25.2,11.8,11.5,5.659316325,9.1,1992,2005,14,14,0,0.0109,0.0656,0.034,0.0328,0.0113,0.00273
g54,301397,48.86907428,10.10231722,Kocher at H??ttlingen,Germany,Europe,DO_3881,0.95,0.4,161,161,5.6,16.4,9.659006211,9.8,1.934601769,3,1994,2005,12,12,0,0.0328,0.0628,0.0367,0.0328,0.00852,0.00342,WT_5273,0.96,0.4,162,162,4.6,25.3,12.53024691,12.25,4.275948763,7.3,1994,2005,12,12,0,0.0328,0.0628,0.0369,0.0342,0.00844,0.00342
g55,301401,49.05661218,9.56812625,Ochsenb??chle at M??ndung-Ochsenb??chle,Germany,Europe,DO_3927,0.95,0.48,105,105,9.1,13.5,11.47047619,11.5,1.117167074,1.9,1991,1999,9,9,0,0.0273,0.0355,0.0319,0.0328,0.00305,0.00273,WT_5319,0.95,0.48,105,105,0.1,15.2,7.662857143,7.6,4.578172652,8.3,1991,1999,9,9,0,0.0273,0.0355,0.0319,0.0328,0.00305,0.00273
g56,301406,49.22686372,9.210346004,Kocher at Kochendorf,Germany,Europe,DO_3930,0.84,0.43,159,159,2.6,15.7,10.91383648,11,2.102153145,3.2,1992,2005,14,12,2,0.0109,0.071,0.0362,0.0355,0.0131,6.83E-04,WT_5322,0.84,0.43,158,158,0.1,23.2,11.1721519,11,6.495876923,10.925,1992,2005,14,12,2,0.0109,0.0683,0.036,0.0355,0.0124,6.83E-04
g57,301412,49.35253013,8.52261118,Kraichbach at Ketsch,Germany,Europe,DO_3935,0.95,0.67,169,169,4.7,15,9.388757396,9.4,1.929854175,2.6,1992,2005,14,14,0,0.0109,0.0383,0.033,0.0355,0.00698,0.00205,WT_5327,0.93,0.29,165,165,0.8,22.8,11.80484848,11.3,5.717386897,10.2,1992,2005,14,14,0,0.0109,0.0383,0.0322,0.0342,0.00671,0.00273
g58,301413,48.7059057,9.352183241,K??rsch at Friedrichsm??hle,Germany,Europe,DO_3936,0.94,0.27,162,162,7.2,14.5,10.28950617,10.15,1.535161716,2.275,1992,2005,14,14,0,0.0109,0.0383,0.0316,0.0328,0.00649,0.00546,WT_5328,0.94,0.18,163,163,0.9,23.5,11.36564417,11.2,4.496121516,7.4,1992,2005,14,14,0,0.0109,0.0383,0.0318,0.0328,0.0063,0
g59,301415,49.38964719,8.546664448,Leimbach  at Br??hl,Germany,Europe,DO_3938,0.93,0.47,236,236,0.6,15.5,9.038559322,9.1,2.348162804,2.925,1987,2005,19,19,0,0.0273,0.0383,0.0339,0.0355,0.00293,0.00273,WT_5330,0.92,0.39,235,235,0.9,25.4,12.65148936,12.2,6.00460186,10.55,1987,2005,19,19,0,0.0273,0.0383,0.0338,0.0328,0.00276,0.00273
g60,301418,48.25613163,9.577169956,Gro??e Lauter at Lauterach-2,Germany,Europe,DO_3940,0.83,0.33,228,228,4,19.4,11.18991228,11.2,1.507144218,1.7,1985,2005,21,19,2,0.0246,0.0383,0.0328,0.0328,0.00376,0.0041,WT_5332,0.82,0.24,228,228,0.3,18.6,9.753947368,9.7,4.308012434,7.125,1985,2005,21,19,2,0.0273,0.0383,0.0328,0.0328,0.00341,0.0041
g61,301419,48.0726608,9.268531939,Lauchert  at Sigmaringendorf,Germany,Europe,DO_3941,0.83,0.37,207,207,6.2,18.6,10.63140097,10.8,1.529112144,1.85,1987,2005,19,17,2,0.0273,0.0355,0.0333,0.0355,0.00309,0.00546,WT_5333,0.83,0.21,206,206,1.2,17.8,9.650970874,9.8,3.951310252,6.7,1987,2005,19,17,2,0.0273,0.0383,0.0331,0.0328,0.00288,0.00546
g62,301422,48.97329811,9.461040063,Murr at Backnang,Germany,Europe,DO_3942,0.99,0.64,103,103,8.3,17.7,11.28543689,11.1,1.613934892,2.45,1998,2005,8,8,0,0.0328,0.0383,0.0352,0.0355,0.00175,6.83E-04,WT_5334,1,0.62,103,103,0.7,19.3,9.661165049,8.3,5.359858665,9.3,1998,2005,8,8,0,0.0328,0.0383,0.0352,0.0355,0.00175,6.83E-04
